#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmk4","172.20.114.113","255.255.255.0","00:50:56:69:23:00","vxw-vmknicPg-dvs-56-0-f120948f-8a58-4d6d-83a9-478c4418a3d9","False","9000",,
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:14:a0:c5",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:14:b0:c7",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:14:a0:b5",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:14:b0:b7",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:14:a0:95",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:14:b0:96",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:14:a0:d5",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:14:b0:d7",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:14:a0:a5",,,,"True","40000"
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmk0","10.162.36.115","255.255.255.0","00:25:b5:14:a0:c5","Management Network","False","1500",,
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmk2","172.20.84.115","255.255.255.0","00:50:56:6b:88:c1","dvPortGroup-vMotion","True","1500",,
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmk3","172.20.85.115","255.255.255.0","00:50:56:69:dc:9a","dvPortGroup-Fault-Tolerance","False","1500",,
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:62:5c:05","vmservice-vmknic-pg","False","1500",,
"lo1upvcdesx015m.dcsutil.dcsroot.local","vmk4","172.20.114.115","255.255.255.0","00:50:56:64:79:0f","vxw-vmknicPg-dvs-56-0-f120948f-8a58-4d6d-83a9-478c4418a3d9","False","9000",,
