#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmk2","172.20.66.108","255.255.255.0","00:50:56:62:a6:04","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmk3","172.20.67.54","255.255.255.0","00:50:56:65:c6:3e","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:62:2f:46","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmk4","172.20.99.33","255.255.255.0","00:50:56:67:6e:62","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a1:44",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b1:64",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a1:34",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b1:54",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a1:24",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b1:44",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a1:64",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b1:05",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a1:54",,,,"True","40000"
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmk0","10.160.19.60","255.255.255.0","00:25:b5:05:a1:44","Management Network","False","1500",,
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmk2","172.20.66.109","255.255.255.0","00:50:56:60:12:91","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmk3","172.20.67.55","255.255.255.0","00:50:56:66:c7:b7","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:63:2e:73","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx015m.dcsutil.dcsroot.local","vmk4","172.20.99.34","255.255.255.0","00:50:56:67:c3:4f","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a1:73",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b1:14",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a1:63",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b1:04",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a1:53",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b1:73",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a1:14",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b1:34",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a1:04",,,,"True","40000"
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmk0","10.160.19.62","255.255.255.0","00:25:b5:05:a1:73","Management Network","False","1500",,
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmk2","172.20.66.110","255.255.255.0","00:50:56:67:9b:fe","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmk3","172.20.67.56","255.255.255.0","00:50:56:6a:da:54","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:68:8c:ab","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx016m.dcsutil.dcsroot.local","vmk4","172.20.99.35","255.255.255.0","00:50:56:64:dd:e6","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
